complaint, summary
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT WHILE OPENING THE REAL LIFT GATE THE REAR LIFT GATE GLASS WINDOW SUDDENLY SHATTERED. DURING THE INCIDENT THE PERSON SUSTAINED A FACIAL LACERATION WHICH REQUIRED MEDICAL TREATMENT. THE CAUSE OF THE FAILURE WAS NOT DETERMINED. THE LOCAL DEALER (FUTURE FORD LOCATED AT 650 AUTOMALL DR ROSEVILLE CA 95661) WAS NOTIFIED OF THE FAILURE. THE MANUFACTURER WAS NOT NOTIFIED OF THE FAILURE. THE FAILURE MILEAGE WAS 184000.","Rear lift gate glass window shattered while opening, facial laceration sustained, cause not determined, local dealer notified, manufacturer not notified."
"I WAS DRIVING ON I-65 SOUTH BOUND ON I-65 IN GOODLETTESVILLE TENNESSEE WHEN MY LEFT REAR TIRE BLEW OUT. THE TIRE HAD PLENTY OF TREAD LEFT AND APPARENTLY THE STEEL BELTS CAME APART AND BLUE OUTWARD.","Left rear tire blew out on I-65 Southbound, tire had plenty of tread, steel belts came apart."
"SUMMERSPRING WEATHER ALL FOUR CLEAR GLASS WINDOWS DO NOT SLIDE UP OR DOWN THROUGH ITS' POWER BUTTON ELECTRONICALLY.","All four clear glass windows do not slide up or down electronically via power button."
"MAKES A RATTLING NOISE WHEN A BUMP IS HIT DRIVER SIDE SEAT STOP WORKING","Rattling noise when hitting a bump, driver side seat stopped working."
"THE CAR ALWAYS FEELS LIKE IS ABOUT TO JUMP OFF THE ROAD OR THE LANE IM IN WHENEVER I DRIVE OVER ANY ROUGH ROAD OR POT HOLES.","Vehicle feels like it's about to jump off road or out of lane when driving over rough road or potholes."
"I HAD HAD THIS 2018 JEEP RENEGADE NOT EVEN 2.5 MONTHS AND IT NEEDED AN OIL CHANGE AND THE TIRES WERE COMPLETELY WORN OUT THEY WERE EVERY ONE SLICK AS COULD GET AND DANGEROUS. I CALLED THE DEALER BECAUSE THE TIRES WENT BAD AND I HADN'T HAD THE FIRST 50K MILES ON IT YET AND THEY DID NOTHING. CALLED THE TIRE COMPANY THEY DID NOTHING. SO I REPLACED THEM AND ANOTHER ALMOST 3 MONTHS GO BY AND THE TIRES ARE COMPLETELY WORN OUT AND SLICK AGAIN. THIS HAS REPEATEDLY HAPPENED EVERY 2-3 MONTHS TO WHERE THEY ARE SO DANGEROUS YOU EITHER DRIVE 30 MPH OR GET THEM CHANGED. 3 TIMES I'VE REPLACED THE TIRES AND AND THE OIL GOES SO FAST. AND NOW I AM STUCK WITH THIS VEHICLE I DON'T FEEL SAFE IN. I SHOULDN'T HAVE TO PAY THESE PRICES FOR A 30K VEHICLE THAT'S NOT WORTH 10K.","Jeep Renegade tires worn out every 2-3 months, dealer and tire company did not assist, feels unsafe in vehicle."
"WAS DRIVING ON HWY AND MY VEHICLE JUST SHUT DOWN AS I WAS TURNING OFF THE MAIN ROAD LOST ALL CONTROL OF STEERING. WHEN I RAISED THE HOOD I SAW MY RADIATOR SMOKING AND ALL OF A SUDDEN IT POPPED. HAD TO HAVE IT TOWED IN TO THE SHOP AND WAS TOLD THAT THE RADIATOR HAD EXPLODED AND THE ENGINE SEIZED UP! HOW COULD THIS HAPPEN? I NEVER EVEN HAD IT TO OVER HEAT OR THE LIGHT NEVER EVEN ALERTED ME. JUST BLEW UP AND LEFT ME STRANDED. I WAS TOLD AFTER THE FACT THAT THERE IS A RECALL ON THE RADIATOR! *TR","Vehicle shut down on highway, lost control of steering, radiator smoking and exploded, engine seized up, recall on radiator discovered after incident."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED WHILE DRIVING AT VARIOUS SPEEDS THE TRANSMISSION INDEPENDENTLY SWITCHED TO 4 WHEEL DRIVE AND THE VEHICLE STALLED. THE FAILURE RECURRED SEVERAL TIMES. THE VEHICLE WAS TOWED TO AN INDEPENDENT MECHANIC WHO DIAGNOSED THAT THE TRANSFER CASING AND IGNITION COILS NEEDED TO BE REPLACED. THE IGNITION COIL WAS REPLACED AND THE TRANSFER CASING WAS REPAIRED HOWEVER THE FAILURE RECURRED. AN UNKNOWN DEALER AND THE MANUFACTURER WERE NOTIFIED OF THE FAILURES. NO ASSISTANCE WAS PROVIDED. THE FAILURE MILEAGE WAS 80000.","Transmission switches to 4 wheel drive independently, vehicle stalls, transfer casing and ignition coils need replacement, repaired but failure recurs, dealer and manufacturer notified, no assistance provided."
"THE RADIATOR STARTED GOING OUT ON ME. I HAD TO FIX IT TWICE. THE BREAKES I KEEP HAVING THE CONTINUED FIXING THEM EVERY 4 MONTHS. RECENTLY OCTOBER 25 2019 IT STARTED SMELLING LIKE BURNT RUBBER CAME THRU THE AIR VENTS. THINGS WITH THE ELECTRICITY OE A SHORTAGE. WITH THE TIRES THEY PUT WRONG TIRE SIZE. THEY TOLD ME TO SIGN AND GO BECAUSE THEY DIDN'T HAVE MY ACTUAL TIRE SIZE. ITS ALWAYS ON THE SMALLS STREETS AND ON FREEWAY OR. HIGHWAY IT SMELLS LIKE BURNT RUBBER. THE OWNER DIDN'T NOTIFY ME OR BOTHER TO TELL ME IT WAS ON RECALL ALREADY.","Radiator going out, brakes need frequent fixing, smelling burnt rubber through air vents, electrical shortage, wrong tire size, owner did not notify about recall."
"IN THE MORNING OR WHENEVER DAMP MY FRONT BRAKES LOCK UP WHEN DRIVING THEN STOPPING..","Front brakes lock up when driving and stopping in damp conditions."
"I WAS DRIVING DOWN THE HIGHWAY I WENT TO MAKE A LEFT HAND TURN WHEN SMOKE STARTED COMING OUT OF THE GRILL SO I PULLED OVER TO CHECK UNDER THE HOOD SMOKE STARTED BOILING OUT FROM UNDER THE HOOD","Smoke started coming out of grill while driving down highway, smoke boiling out from under hood."
" THE CONTACT OWNS A 2002 FORD EXPLORER. WHILE DRIVING AT AN UNKNOWN SPEED THE CONTACT HEARD AN ABNORMAL RATTLING NOISE COMING FROM THE REAR OF THE VEHICLE. THE CONTACT INSPECTED THE VEHICLE AND NOTICED THAT THE REAR DRIVER'S SIDE UPPER HINGE WAS FRACTURED. THE VEHICLE WAS NOT REPAIRED. PERRY FORD OF SANTA BARBARA (440 HITCHCOCK WAY SANTA BARBARA CA 93105 (805) 682-2411) WAS CONTACTED BY PHONE AND INFORMED OF THE FAILURE. THE VEHICLE WAS NOT INCLUDED IN NHTSA CAMPAIGN NUMBER: 04V442000 (STRUCTURE). THE MANUFACTURER WAS NOTIFIED. THE APPROXIMATE FAILURE MILEAGE WAS 204000.","Abnormal rattling noise from rear of vehicle, rear driver's side upper hinge fractured, not repaired, dealer informed, vehicle not included in recall."
"THE CAR GETS STUCK IN PARK AND WILL NOT INTO REVERSE NEUTRAL OR DRIVE. IT DOESN'T HAPPEN OFTEN BUT HAS BEEN HAPPENING AT INFREQUENT PERIODS SINCE 2007. IT'S A NUISANCE WHEN IT DOES HAPPEN BUT AFTER MULTIPLE ATTEMPTS DEPRESSING THE BRAKE AND REPEATEDLY ATTEMPTING TO SHIFT; SHUTTING DOWN THE ENGINE AND RESTARTING AND REPEATING THE PROCESS; USUALLY DOES SHIFT INTO GEAR. THE LAST INCIDENT WAS MORE THAN 4 YEARS AGO. NOW SINCE SATURDAY 9/28/19; CAN'T SHIFT OUT OF PARK. I NEVER REPORTED THE PROBLEM BECAUSE IT WAS ALWAYS RESOLVED AND I FORGOT TO REPORT IT TO THE DEALERSHIP BECAUSE I WAS ALWAYS IN A RUSH TO GET TO MY DESTINATION. MY CAR IS IN GOOD RUNNING CONDITION. ORIGINAL OWNER. 93964MI. ALWAYS SERVICED AT DEALERSHIP.","Vehicle gets stuck in park, does not shift into reverse, neutral, or drive, issue since 2007, resolves after multiple attempts, recent incident unable to shift out of park."
"THE CONSUMER STATED THE HOME FIRE HAZARD CREATED BY FAULTY DESIGN OF NON UL APPROVED PERSONAL SNOW PLOW USE FOR SUV MANUFACTURED BY WESTERN PRODUCTS. SNOW PLOW ELECTRIC MOTOR WAS UNFUSED AND OVERHEATED NOT RESPONDING TO THE COMMAN CONTROLLER SHORTING OUT AND CAUSING A SERIOUS EXPENSIVE FIRE. *JS","Faulty design of personal snow plow created home fire hazard, electric motor unfused and overheated causing fire."
"RE: 2002 FORD EXPLORER SPORT TRAC. IT APPEARS THAT THE UPPER BOLT ON THE DRIVER'S SIDE HIGH BACK SEAT THAT ATTACHES THE SEAT RECLINER MECHANISM TO THE SEAT BACK FRAME HAS FRACTURED AND THE SEAT BACK IS PERMANENTLY IN THE RECLINED POSITION. THIS MAKES DRIVING VERY CUMBERSOME SINCE I HAVE TO SIT VERY UPRIGHT. I HAVE RESEARCHED AND FOUND A SIMILAR COMPLAINT ON THE NHTSA WEBSITE WHERE 4 OTHER PEOPLE HAVE HAD THIS HAPPEN TO THEM. I BELIEVE THE BOLTS ARE FAULTY AND WILL FAIL ON ALL EXPLORER SPORT TRACS EVENTUALLY. I CONTACTED FORD AND WAS TOLD THERE ARE NO RECALLS ON THIS ISSUE. SINCE MY TRUCK IS OUT OF WARRANTY I WILL HAVE TO PAY FOR THE REPAIR MYSELF. I AM CONCERNED THAT THIS WILL HAPPEN AGAIN AFTER I HAVE THE SEAT REPAIRED. I THINK FORD SHOULD ISSUE A RECALL ON THIS ISSUE.","Upper bolt on driver's side high back seat fractured, seat permanently reclined, driving cumbersome, similar complaint found on NHTSA website, no recalls issued, concerned about reoccurrence after repair."
"OCCASIONALLY THE VEHICLE WON'T START. THIS HAS HAPPENED MORE THAN A HALF DOZEN TIMES OVER THE LAST TWO MONTHS. THERE IS NO PATTERN TO IT. IT'S BEEN TAKEN TO THE FORD DEALERSHIP TWICE AND THEY CAN'T FIND ANYTHING WRONG WITH IT. THEY DID REPLACE THE STARTER SOLENOID BUT IT DID NOT FIX THE PROBLEM. IF WE WAIT 15 MINUTES AND TRY AGAIN IT STARTS UP LIKE NOTHING IS WRONG. I DID HAVE THE REMOTE START SYSTEM DISCONNECTED TO SEE IF THAT WAS THE PROBLEM, BUT IT WASN'T. IT'S GETTING VERY FRUSTRATING NOT KNOWING IF THE VEHICLE WILL START UP WHEN I NEED IT TO.","Vehicle occasionally won't start, no pattern, taken to dealership twice, starter solenoid replaced but did not fix issue, waiting 15 minutes allows vehicle to start, remote start system disconnected but not the problem, frustrating situation."
"I WAS TRAVELING EASTBOUND ON A BUSY 4 LANE ROAD IN MY 2002 FORD EXPLORER. I WAS TRAVELING AT ABOUT 30 MPH WHEN THE ENGINE BEGAN TO ACCELERATE ON ITS OWN. THE SPEED CONTROL WAS NOT SET TO ANY SPEED AND THE ACCELERATOR PEDAL WAS NOT PRESSED. I HAD TO PUT THE VEHICLE INTO NEUTRAL AND PUSH THE BRAKES HARD TO SLOW DOWN. I WAS ABLE TO PULL OFF TO THE SIDE OF THE ROAD AND TURN OFF THE ENGINE. I WAITED A FEW MINUTES AND THEN STARTED THE ENGINE AGAIN. THE ENGINE IDLED NORMAL AND THERE WAS NO ACCELERATION. I WAS ABLE TO DRIVE THE VEHICLE HOME AT THAT TIME. I HAD THE VEHICLE TOWED TO THE LOCAL FORD DEALER FOR DIAGNOSIS. THEY INFORMED ME THAT THEY COULD NOT FIND ANYTHING WRONG WITH THE VEHICLE. I WAS LUCKY THAT NO ONE WAS IN FRONT OF ME AND THAT I WAS ABLE TO GET THE VEHICLE STOPPED.","Engine began to accelerate on its own while traveling at 30 MPH, speed control not set, accelerator pedal not pressed, had to put vehicle in neutral and brake hard to slow down, engine turned off and restarted normally, vehicle towed to Ford dealer, no issue found."
"THE STEERING WHEEL ON MY VEHICLE LOCKS WHENEVER IT FEELS LIKE IT. THIS CAN HAPPEN WHILE THE VEHICLE IS IN MOTION, WHILE TURNING, OR EVEN AFTER THE CAR HAS BEEN PARKED. THE FIRST TIME IT HAPPENED WAS SEVERAL YEARS AGO. I TURNED THE CAR OFF AND BACK ON AND IT STARTED WORKING AGAIN. IT HAPPENED AGAIN RECENTLY WHILE I WAS DRIVING ON THE HIGHWAY. THE STEERING WHEEL LOCKED WHILE I WAS DRIVING AND I WAS ALMOST INVOLVED IN A COLLISION. I MANAGED TO GET THE CAR OFF THE HIGHWAY AND TURNED IT OFF AND BACK ON AGAIN AND IT WORKED. THE THIRD TIME IT HAPPENED, THE STEERING WHEEL LOCKED WHILE I WAS TURNING INTO A PARKING SPOT AND I COULD NOT TURN THE WHEEL AT ALL. I CALLED FOR A TOW TRUCK TO TAKE THE CAR TO THE MECHANIC. THEY COULD NOT FIND ANYTHING WRONG WITH THE VEHICLE. THIS IS A VERY DANGEROUS SITUATION AND I AM AFRAID TO DRIVE THE VEHICLE.","Steering wheel locks intermittently while driving, turning, or parked, first incident several years ago, recently happened on highway nearly causing collision, managed to restart vehicle to unlock wheel, towed to mechanic but no issue found, dangerous situation."
"THE REAR HATCH DOOR AND BACK DOOR WINDOW WILL NOT OPEN. I HAVE TO CLIMB THROUGH THE CAR TO PUT ITEMS IN THE BACK SEAT WHEN IT IS LARGER THAN THE HATCH WILL ALLOW. I WAS TOLD BY A MECHANIC THAT I WILL HAVE TO PAY ABOUT $800 TO HAVE IT FIXED AND I CAN'T AFFORD THAT.","Rear hatch door and back door window will not open, have to climb through car to access back seat, mechanic quoted $800 for repair, unable to afford."
"STEERING WHEEL LOOSE , DOOR LOCKS STOPPED WORKING, DRIVER SIDE DOOR HINGE REPLACED , WEAKNESS IN FLOORS , FRAME ROTTED , I AM THE ORIGINAL OWNER AND I DO NOT DRIVE ROUGH.","Steering wheel loose, door locks stopped working, driver side door hinge replaced, weakness in floors, frame rotted, original owner, does not drive rough."
"WHILE DRIVING ON A CURVED ROAD I TURNED THE STEERING WHEEL TO THE LEFT AND THE VEHICLE VEERED TO THE LEFT AND THEN PULLED BACK TO THE RIGHT. THE VEHICLE WOULD NOT STAY STRAIGHT AND CONTINUED TO VEER TO THE RIGHT. THIS HAS HAPPENED SEVERAL TIMES AT VARIOUS SPEEDS. I WAS TOLD THAT IT COULD BE A PROBLEM WITH THE ALIGNMENT BUT THE ALIGNMENT WAS CHECKED AND NOTHING WAS FOUND TO BE WRONG. I WAS ALSO TOLD THAT IT COULD BE A PROBLEM WITH THE STEERING GEAR BUT NOTHING WAS FOUND TO BE WRONG WITH THAT EITHER. I WAS TOLD THAT THERE WAS NOTHING THAT COULD BE DONE AND THAT I WOULD HAVE TO LIVE WITH IT. THIS IS A VERY DANGEROUS SITUATION AND I AM AFRAID TO DRIVE THE VEHICLE.","Vehicle veers to the right while driving, does not stay straight, problem persists after alignment and steering gear check, told nothing can be done, dangerous situation, afraid to drive."
" THE CONTACT OWNS A 2002 FORD EXPLORER. WHILE DRIVING 60 MPH, THE CONTACT'S VEHICLE WAS REAR ENDED BY ANOTHER VEHICLE. AS A RESULT, THE CONTACT'S VEHICLE SPUN OUT OF CONTROL AND CRASHED INTO THE GUARDRAIL. THE AIR BAGS FAILED TO DEPLOY. THERE WERE NO INJURIES AND A POLICE REPORT WAS FILED. THE VEHICLE WAS TOWED TO AN INDEPENDENT MECHANIC. THE MANUFACTURER WAS NOT NOTIFIED OF THE FAILURE. THE VEHICLE WAS DESTROYED. THE FAILURE MILEAGE WAS 130,000.","Vehicle rear-ended while driving 60 MPH, spun out of control and crashed into guardrail, air bags failed to deploy, no injuries, police report filed, vehicle destroyed."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT THE VEHICLE WAS PREVIOUSLY REPAIRED PER NHTSA CAMPAIGN NUMBER: 04V442000 (STRUCTURE). THE VEHICLE WAS TAKEN TO AN INDEPENDENT MECHANIC WHERE IT WAS DIAGNOSED THAT THE REAR UPPER HINGES ON BOTH SIDES OF THE VEHICLE WERE FRACTURED AND NEEDED TO BE REPLACED. THE VEHICLE WAS REPAIRED. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS 110,000.","Vehicle previously repaired per recall but rear upper hinges on both sides still fractured and needed replacement."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT THE REAR DRIVER'S SIDE LIFTGATE GLASS WAS FRACTURED AND COULD POSSIBLY SHATTER AT ANY TIME. THE VEHICLE WAS TAKEN TO AN INDEPENDENT MECHANIC WHO DIAGNOSED THAT THE LIFTGATE GLASS NEEDED TO BE REPLACED. THE VEHICLE WAS REPAIRED. THE MANUFACTURER WAS NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 187,000.  UPDATED 04/20/16*LJ","Rear driver's side liftgate glass fractured, could possibly shatter at any time, liftgate glass replaced, manufacturer notified."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT THE VEHICLE FAILED TO START AND WAS TOWED TO AN INDEPENDENT MECHANIC WHO REPLACED THE FUEL PUMP. THE CONTACT WAS INFORMED THAT THE FUEL PUMP WOULD FAIL INTERMITTENTLY. THE MANUFACTURER WAS NOTIFIED OF THE FAILURE. THE FAILURE MILEAGE WAS 100,000.","Vehicle fails to start, fuel pump replaced by independent mechanic, fuel pump expected to fail intermittently, manufacturer notified."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT WHILE DRIVING AT APPROXIMATELY 40 MPH, THE ENGINE STALLED WITHOUT WARNING. THE VEHICLE WAS UNABLE TO BE RESTARTED. THE VEHICLE WAS TOWED TO A DEALER WHERE IT WAS DIAGNOSED THAT THE FUEL PUMP MODULE NEEDED TO BE REPLACED. THE VEHICLE WAS REPAIRED. THE MANUFACTURER WAS MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS APPROXIMATELY 152,000. UPDATED 01/26/16 ","Engine stalled while driving approximately 40 MPH, unable to restart, towed to dealer, fuel pump module replaced, manufacturer notified."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT THE DRIVER'S SEAT BECAME LOOSE AND WOULD SWAY BACK AND FORTH WHILE DRIVING AT VARIOUS SPEEDS. THE VEHICLE WAS TAKEN TO A DEALER WHERE IT WAS DIAGNOSED THAT THE DRIVER'S SEAT MOUNT NEEDED TO BE REPLACED. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS MADE AWARE OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 109,000. UPDATED 02/10/16*JS","Driver's seat became loose and swayed back and forth while driving at various speeds, dealer diagnosed driver's seat mount needs replacement, manufacturer notified."
"THE CONTACT OWNS A 2002 FORD EXPLORER. WHILE DRIVING AT 45 MPH, THE REAR DRIVER SIDE TIRE EXPERIENCED A BLOWOUT. THE VEHICLE WAS NOT TAKEN TO BE DIAGNOSED OR REPAIRED. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS 190,000.","Rear driver side tire experienced blowout while driving at 45 MPH."
"2002 FORD EXPLORER HAVING PROBLEMS WITH THE BRAKES. THE BRAKES SQUEAL AND VIBRATE. ** THE BRAKES GRAB. THE ABS LIGHT COMES ON. THE CONTACT STATES THAT THESE PROBLEMS OCCUR ABOUT ONCE A MONTH. THE FAILURE MILEAGE WAS 90,000 AND THE CURRENT MILEAGE WAS 94,000.  UPDATED 05/06/08.  ","Brakes squeal, vibrate, grab, ABS light comes on about once a month."
"THE CONTACT OWNS A 2002 FORD EXPLORER. WHILE DRIVING 10 MPH, THE FRONT DRIVER'S SIDE TIRE CAME OFF AND THE CONTACT LOST CONTROL OF THE VEHICLE. THE VEHICLE CRASHED INTO A GUARDRAIL. THE VEHICLE WAS TOWED TO A TOW YARD. THE CONTACT SUSTAINED INJURIES TO THE RIGHT SIDE OF HER BODY AND WAS TREATED BY PARAMEDICS. A POLICE REPORT WAS FILED. THE VEHICLE WAS DESTROYED. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS 128,000.","Front driver's side tire came off while driving 10 MPH, lost control of vehicle, crashed into guardrail, injuries sustained to right side of body, police report filed, vehicle destroyed."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT THE RADIATOR BECAME SEPARATED FROM THE VEHICLE DUE TO RUST. THE VEHICLE WAS TAKEN TO A DEALER WHERE IT WAS DIAGNOSED THAT THE RADIATOR AND COOLANT NEEDED TO BE REPLACED. THE VEHICLE WAS REPAIRED. THE MANUFACTURER WAS NOT NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 86,000.  UPDATED 02/10/16*JS","Radiator separated from vehicle due to rust, radiator and coolant replaced by dealer."
" THE CONTACT OWNS A 2002 FORD EXPLORER. WHILE DRIVING 35 MPH, THE REAR PASSENGER SIDE WHEEL SUDDENLY DETACHED FROM THE VEHICLE. THE CONTACT MANAGED TO BRING THE VEHICLE TO A STOP WITHOUT CRASHING. THE VEHICLE WAS TOWED TO THE CONTACT'S RESIDENCE. THE DEALER AND MANUFACTURER WERE NOT NOTIFIED OF THE FAILURE. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE FAILURE MILEAGE WAS 142,000.","Rear passenger side wheel suddenly detached from vehicle while driving 35 MPH, managed to stop vehicle without crashing, dealer and manufacturer not notified, vehicle not diagnosed or repaired."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT WHILE DRIVING APPROXIMATELY 45 MPH, THERE WAS A LOUD ABNORMAL NOISE UNDERNEATH THE VEHICLE. THE CONTACT MENTIONED THAT THE GEAR SHIFTER LEVER AND THE TRANSMISSION WARNING INDICATOR BECAME ILLUMINATED. THE VEHICLE WAS PULLED OVER TO THE SIDE OF THE ROAD. THE VEHICLE WAS TOWED TO AN INDEPENDENT MECHANIC WHERE IT WAS DIAGNOSED THAT THE TRANSMISSION NEEDED TO BE REPLACED. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS NOT NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 87,000. UPDATED 5/7/15 *CN","Loud abnormal noise underneath vehicle while driving approximately 45 MPH, gear shifter lever and transmission warning indicator illuminated, vehicle towed to independent mechanic, diagnosed with need for transmission replacement, not repaired, manufacturer not notified."
"THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED THAT WHILE DRIVING APPROXIMATELY 35 MPH, THE FRONT DRIVER'S SIDE TIRE SUDDENLY DEFLATED WITHOUT WARNING. THE CONTACT MENTIONED THAT THE FAILURE RECURRED MULTIPLE TIMES. THE VEHICLE WAS TAKEN TO AN INDEPENDENT MECHANIC WHERE THE TECHNICIAN WAS UNABLE TO DIAGNOSE THE FAILURE. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE VEHICLE WAS NOT REPAIRED. THE APPROXIMATE FAILURE MILEAGE WAS 80,000.","Front driver's side tire suddenly deflated while driving approximately 35 MPH, failure recurred multiple times, taken to independent mechanic but not diagnosed, manufacturer not notified, vehicle not repaired."
